name,voices,interval,segment,step1,step2,one-voice-step,notes1,notes2,fermata
chor001.krn,alto-soprano,7,30,2,1,True,F#-C,G-D,False
chor001.krn,tenor-soprano,7,52,4,2,True,D-B,C-G,True
chor001.krn,bass-soprano,0,24,2,7,True,D-A,G-G,True
chor001.krn,bass-soprano,0,80,2,7,True,D-A,G-G,True
chor001.krn,tenor-alto,7,40,2,4,True,G-E,B-F#,False
chor001.krn,bass-alto,7,24,4,7,False,D-F#,G-D,True
chor001.krn,bass-alto,0,70,1,5,True,D-F#,G-G,True
chor001.krn,bass-alto,7,80,4,7,False,D-F#,G-D,True
chor002.krn,alto-soprano,0,47,7,2,True,F#-B,E-E,True
chor002.krn,alto-soprano,7,56,2,1,True,G#-D,A-E,False
chor002.krn,alto-soprano,7,60,2,5,True,A-C#,E-B,True
chor002.krn,tenor-soprano,7,13,7,8,False,G#-E,E-B,True
chor002.krn,tenor-soprano,0,49,5,1,True,G#-E,A-A,False
chor002.krn,tenor-soprano,0,76,2,7,True,F#-C#,B-B,False
chor002.krn,bass-soprano,7,10,1,5,True,E-G,B-F#,False
chor002.krn,bass-soprano,0,12,2,7,True,B-F#,E-E,True
chor002.krn,bass-soprano,7,13,7,0,True,E-E,E-B,True
chor002.krn,bass-soprano,7,21,2,0,True,B-G#,B-F#,False
chor002.krn,bass-soprano,7,30,2,5,True,A-C#,E-B,False
chor002.krn,bass-soprano,0,79,2,7,True,E-B,A-A,True
chor002.krn,bass-alto,7,12,4,7,False,B-D#,E-B,True
chor002.krn,bass-alto,0,14,1,5,True,E-G#,A-A,False
chor002.krn,bass-alto,7,79,4,7,False,E-G#,A-E,True
chor002.krn,bass-tenor,7,9,5,1,True,D#-F#,E-B,False
chor002.krn,bass-tenor,0,13,8,0,True,E-G#,E-E,True
chor002.krn,bass-tenor,7,61,2,5,True,E-G#,B-F#,True
chor003.krn,alto-soprano,7,64,1,5,True,A-C,E-B,True
chor003.krn,bass-soprano,7,11,1,5,True,A-C,E-B,True
chor003.krn,bass-soprano,0,26,2,7,True,E-B,A-A,True
chor003.krn,bass-alto,0,2,1,5,True,E-G#,A-A,False
chor003.krn,bass-tenor,7,39,6,1,True,C-C,B-F#,True
chor003.krn,bass-tenor,0,40,10,5,False,B-F#,E-E,True
chor004.krn,alto-soprano,7,39,2,5,True,B-D#,F#-C#,False
chor004.krn,tenor-soprano,7,47,5,3,False,E-C#,C#-G#,False
chor004.krn,tenor-soprano,7,59,5,5,False,B-F#,F#-C#,False
